B,P,C,X,N,Time
5,1,1,0,1,10.303309
5,1,5,0,1,10.398952
5,5,1,0,1,10.360695
5,5,5,0,1,10.439515
10,1,1,0,1,10.360173
10,1,5,0,1,10.377839
10,1,10,0,1,10.345459
10,5,1,0,1,10.461472
10,5,5,0,1,10.416249
10,5,10,0,1,10.430234
10,10,1,0,1,10.505521
10,10,5,0,1,10.368412
10,10,10,0,1,10.349650
5,1,1,200,1,11.251260
5,1,5,200,1,10.597918
5,5,1,200,1,11.232470
5,5,5,200,1,10.680559
10,1,1,200,1,12.306972
10,1,5,200,1,10.576999
10,1,10,200,1,10.673778
10,5,1,200,1,12.159651
10,5,5,200,1,10.589994
10,5,10,200,1,10.652387
10,10,1,200,1,12.422814
10,10,5,200,1,10.599896
10,10,10,200,1,10.609090
5,1,1,400,1,20.818327
5,1,5,400,1,10.843576
5,5,1,400,1,21.040202
5,5,5,400,1,10.868488
10,1,1,400,1,21.604176
10,1,5,400,1,10.775668
10,1,10,400,1,10.758855
10,5,1,400,1,21.734517
10,5,5,400,1,10.804557
10,5,10,400,1,10.752306
10,10,1,400,1,21.570319
10,10,5,400,1,10.729686
10,10,10,400,1,10.772559